url,title,company,city,publish_date,salary_text,exp_text,edu_text
https://www.liepin.com/job/1976872959.shtml,PON产品嵌入式软件工程师,通则康威,上海-漕河泾,,15-23k·13薪,5年以上,本科
https://www.liepin.com/job/1976108383.shtml,嵌入式软件工程师,贝尔生物,大兴区,,15-25k·13薪,2年以上,硕士
https://www.liepin.com/job/1975990959.shtml,嵌入式软件开发（全额公积金/双休）,深德科,高新区,,12-18k,3-5年,本科
https://www.liepin.com/job/1975397497.shtml,嵌入式软件工程师（驱动开发）,广东纳睿雷达科技股份有限公司,珠海,,15-25k·14薪,3年以上,本科
https://www.liepin.com/job/1975220965.shtml,嵌入式系统工程师,形朗(深圳)科技有限公司,深圳-科技园,,40-70k,3-5年,本科
https://www.liepin.com/job/1974471641.shtml,嵌入式软件工程师,东琉信息,苏州-太仓,,10-15k·14薪,1-3年,本科
https://www.liepin.com/job/1973831655.shtml,嵌入式软件工程师（网络方向）(J10071),国芯微,杭州-北山,,18-35k·14薪,3-5年,本科
https://www.liepin.com/job/1973462073.shtml,嵌入式软件工程师,爱普拉新能源技术,常平镇,,15-25k,3-5年,本科
https://www.liepin.com/job/1973023279.shtml,嵌入式软件开发工程师(SOC方向),武汉光昱明晟智能科技有限公司,武汉-流芳,,12-30k·13薪,3-5年,本科
https://www.liepin.com/job/1972707085.shtml,嵌入式软件工程师,爱普拉新能源技术,东莞-中元街,,10-15k,3-5年,本科
https://www.liepin.com/job/1972644075.shtml,高级嵌入式开发工程师,上海方仓智能科技有限公司,上海-九亭,,20-35k,5年以上,硕士
https://www.liepin.com/job/1972337413.shtml,嵌入式软件工程师（充电桩海外欧美标）,深圳腾宁科技有限公司,深圳-西丽,,20-35k,3-5年,大专
https://www.liepin.com/job/1971810647.shtml,门锁嵌入式软件开发,凌度汽车电子,龙华区,,15-30k·13薪,3-5年,本科
https://www.liepin.com/job/1969926915.shtml,嵌入式软件开发资深工程师,时代星云,福州-儒江,,15-20k,3-5年,本科
https://www.liepin.com/job/1969622943.shtml,嵌入式软件开发工程师,小马智行科技有限公司,广州-黄阁,,20-30k·16薪,1年以上,本科
https://www.liepin.com/job/1969155591.shtml,嵌入式软件开发工程师（青浦）,上海川土微电子股份有限公司,上海-徐泾,,15-27k,3-5年,本科
https://www.liepin.com/job/1968848929.shtml,嵌入式软件工程师（控制软件工程师）,杰克科技股份有限公司,杭州-南苑,,20-30k,5-10年,本科
https://www.liepin.com/job/1966496401.shtml,嵌入式软件工程师,菲亚兰德集团,广州-淘金,,25-40k,5-10年,本科
https://www.liepin.com/job/1965877721.shtml,嵌入式Linux工程师,CIG,上海-浦江镇,,15-30k,3-5年,本科
https://www.liepin.com/job/1965869717.shtml,MCU嵌入式系统开发工程师,新相微电子,西安-丈八,,12-20k,3-5年,本科
https://www.liepin.com/job/1960504699.shtml,嵌入式软件工程师,INTAMSYS,浦东新区,,面议,2年以上,本科
https://www.liepin.com/job/1948610959.shtml,嵌入式软件工程师,众天云科技,长沙-袁家岭,,12-18k,3-5年,大专
https://www.liepin.com/job/1944040773.shtml,嵌入式软件工程师,有新智能科技(广州)有限公司,广州-五山,,10-15k·13薪,3-5年,本科
https://www.liepin.com/job/1930170639.shtml,嵌入式软件开发工程师（嵌入式实时操作系统方向）,柏飞电子,上海-漕河泾,,10-20k,3-5年,本科
https://www.liepin.com/a/72282959.shtml,GUI嵌入式工程师,某深圳专业技术服务公司,深圳,,30-50k·15薪,3-5年,本科
https://www.liepin.com/a/72282827.shtml,中/高级嵌入式工程师（云台）,某深圳大型智能硬件/消费电子公司,南山区,,40-70k·15薪,4年以上,本科
https://www.liepin.com/a/72281207.shtml,嵌入式软件开发,某北京人工智能上市公司,苏州,,25-40k·15薪,3年以上,本科
https://www.liepin.com/a/72280621.shtml,中级嵌入式软件开发工程师,某电子/半导体/集成电路公司,龙华区,,14-24k,3-5年,本科
https://www.liepin.com/a/72277049.shtml,嵌入式软件开发,某宁波整车制造公司,宁波,,20-40k,3-5年,本科
https://www.liepin.com/a/72274543.shtml,嵌入式软件工程师（光模块固件开发）,某深圳大型金属制品公司,东莞,,40-50k,3-5年,大专
https://www.liepin.com/a/72274357.shtml,嵌入式软件工程师,某深圳大型金属制品公司,东莞,,30-45k,经验不限,学历不限
https://www.liepin.com/a/72273197.shtml,嵌入式软件开发工程师,某上海机械/设备公司,上海,,20-25k·13薪,2-10年,本科
https://www.liepin.com/a/72272647.shtml,Linux嵌入式工程师(智能相机方向),某知名电子/半导体/集成电路公司,苏州,,35-50k,5-10年,硕士
https://www.liepin.com/a/72270063.shtml,嵌入式软件负责人,某国内电力/热力/燃气/水务公司,北京,,35-65k·15薪,6年以上,本科
https://www.liepin.com/a/72266685.shtml,嵌入式软件工程师（变频器/伺服）,某深圳仪器仪表上市公司,武汉,,25-50k·15薪,5-10年,本科
https://www.liepin.com/a/72266197.shtml,嵌入式软件工程师（单片机）,某知名公司,深圳,,15-25k·14薪,5-10年,本科
https://www.liepin.com/a/72265267.shtml,嵌入式相关资深人选,某知名公司,南山区,,50-80k·17薪,经验不限,本科
https://www.liepin.com/a/72261925.shtml,嵌入式软件（外企，双休）,某知名公司,上海,,20-30k·17薪,3-5年,硕士
https://www.liepin.com/a/72261653.shtml,嵌入式软件工程师,某上海智能硬件/消费电子公司,闵行区,,35-50k,1-3年,本科
https://www.liepin.com/a/72261611.shtml,嵌入式工程师,某知名公司,上城区,,10-14k·13薪,1-3年,本科
